# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_DOWNSTREAM	variants_effect_EXON	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_ACCEPTOR	variants_effect_SPLICE_SITE_DONOR	variants_effect_SPLICE_SITE_REGION	variants_effect_START_GAINED	variants_effect_START_LOST	variants_effect_SYNONYMOUS_CODING	variants_effect_UPSTREAM	variants_effect_UTR_3_PRIME	variants_effect_UTR_5_PRIME
CG11374	FBgn0031214	FBtr0306541	protein_coding	1	10	4	260	144	0	0	4	0	0	0	0	1	10	112	1	3
CG11377	FBgn0031217	FBtr0078104	protein_coding	0	7	14	206	121	0	7	14	0	0	1	0	0	6	71	5	3
CG11377	FBgn0031217	FBtr0330636	protein_coding	0	5	13	209	121	0	12	13	0	0	0	0	0	5	71	2	3
CG13694	FBgn0031219	FBtr0078160	protein_coding	0	5	11	258	117	0	0	11	0	0	0	2	0	3	121	10	10
CG13694	FBgn0031219	FBtr0336838	protein_coding	0	3	11	250	117	0	0	11	0	0	0	0	0	3	122	10	1
CG3164	FBgn0025683	FBtr0078153	protein_coding	0	18	9	395	112	0	157	9	0	0	3	0	0	15	113	9	7
CG3164	FBgn0025683	FBtr0078154	protein_coding	0	18	9	351	112	0	123	9	0	0	3	0	0	15	104	9	6
CG3164	FBgn0025683	FBtr0078155	protein_coding	0	18	9	395	112	0	154	9	0	0	3	0	0	15	113	12	7
CG3164	FBgn0025683	FBtr0100379	protein_coding	0	18	9	351	112	0	120	9	0	0	3	0	0	15	104	12	6
CG31974	FBgn0051974	FBtr0300987	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0
CG31974	FBgn0051974	FBtr0330644	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0
CG31974	FBgn0051974	FBtr0330645	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0
CG31975	FBgn0051975	FBtr0302195	protein_coding	0	0	0	58	58	0	0	0	0	0	0	0	0	0	0	0	0
CG31975	FBgn0051975	FBtr0302196	protein_coding	0	0	0	77	77	0	0	0	0	0	0	0	0	0	0	0	0
CG4822	FBgn0031220	FBtr0078156	protein_coding	0	13	15	329	155	0	56	15	0	0	2	0	0	11	109	8	3
CG4822	FBgn0031220	FBtr0078157	protein_coding	0	18	15	298	155	0	15	15	0	0	3	4	0	11	115	8	7
CG4822	FBgn0031220	FBtr0078158	protein_coding	0	15	15	298	155	0	18	15	0	0	2	2	0	11	112	8	7
CG4822	FBgn0031220	FBtr0078159	protein_coding	0	22	15	329	155	0	12	15	0	0	2	9	0	11	109	8	47
CG4822	FBgn0031220	FBtr0100307	protein_coding	0	16	15	301	154	0	16	15	0	0	2	3	0	11	115	12	6
CG4822	FBgn0031220	FBtr0100308	protein_coding	0	18	15	298	155	0	12	15	0	0	2	5	0	11	115	8	10
CG4822	FBgn0031220	FBtr0100309	protein_coding	0	5	5	318	155	0	18	5	0	0	2	2	0	1	115	28	4
CG4822	FBgn0031220	FBtr0100310	protein_coding	0	3	3	320	158	0	15	3	0	0	0	2	0	1	115	28	4
CG4822	FBgn0031220	FBtr0330646	protein_coding	0	4	3	321	155	0	20	3	0	0	1	2	0	1	115	28	4
CR11023	FBgn0031208	FBtr0475186	pseudogene	0	2	0	297	127	64	3	0	0	0	2	0	0	0	105	0	0
Cda5	FBgn0051973	FBtr0078163	protein_coding	1	32	33	903	95	0	653	33	1	0	3	0	0	30	132	22	4
Cda5	FBgn0051973	FBtr0078164	protein_coding	1	40	68	860	95	0	610	68	1	0	3	0	0	38	132	22	4
Cda5	FBgn0051973	FBtr0113416	protein_coding	0	30	31	908	95	0	658	31	0	0	4	0	0	27	132	22	4
Cda5	FBgn0051973	FBtr0309225	protein_coding	1	43	53	873	95	0	618	53	1	0	3	1	0	40	132	22	9
Cda5	FBgn0051973	FBtr0309226	protein_coding	1	48	68	1019	95	0	782	68	1	0	3	0	0	46	123	22	0
Cda5	FBgn0051973	FBtr0309227	protein_coding	0	29	24	916	95	0	664	24	0	0	3	0	0	27	132	22	5
Cda5	FBgn0051973	FBtr0309228	protein_coding	1	38	59	872	95	0	610	59	1	0	3	1	0	35	132	22	16
Cda5	FBgn0051973	FBtr0309229	protein_coding	1	49	72	847	95	0	592	72	1	0	3	0	0	47	132	22	9
FBti0019092	FBti0019092	FBti0019092-RA		0	0	0	345	171	27	0	0	0	0	0	0	0	0	147	0	0
FBti0019093	FBti0019093	FBti0019093-RA		0	0	0	284	124	26	0	0	0	0	0	0	0	0	134	0	0
FBti0059810	FBti0059810	FBti0059810-RA		0	0	0	303	202	0	0	0	0	0	0	0	0	0	101	0	0
FBti0059812	FBti0059812	FBti0059812-RA		0	0	0	204	93	8	0	0	0	0	0	0	0	0	103	0	0
FBti0059814	FBti0059814	FBti0059814-RA		0	0	0	173	75	10	0	0	0	0	0	0	0	0	88	0	0
FBti0059816	FBti0059816	FBti0059816-RA		0	0	0	297	150	15	0	0	0	0	0	0	0	0	132	0	0
FBti0059818	FBti0059818	FBti0059818-RA		0	0	0	294	147	5	0	0	0	0	0	0	0	0	142	0	0
FBti0059819	FBti0059819	FBti0059819-RA		0	0	0	273	151	0	0	0	0	0	0	0	0	0	122	0	0
FBti0060557	FBti0060557	FBti0060557-RA		0	0	0	263	104	31	0	0	0	0	0	0	0	0	128	0	0
FBti0060562	FBti0060562	FBti0060562-RA		0	0	0	249	121	2	0	0	0	0	0	0	0	0	126	0	0
FBti0060580	FBti0060580	FBti0060580-RA		0	0	0	304	104	10	0	0	0	0	0	0	0	0	190	0	0
Gs1	FBgn0001142	FBtr0078114	protein_coding	0	10	3	223	57	0	5	3	0	0	0	0	0	10	141	16	4
Gs1	FBgn0001142	FBtr0078115	protein_coding	0	10	3	223	57	0	0	3	0	0	0	0	0	10	141	16	9
Gs1	FBgn0001142	FBtr0300568	protein_coding	0	10	3	223	65	0	5	3	0	0	0	0	0	10	141	8	4
Ir21a	FBgn0031209	FBtr0113008	protein_coding	0	15	18	264	144	0	21	18	0	0	1	0	0	14	97	3	0
ND-15	FBgn0031228	FBtr0306542	protein_coding	0	2	0	654	0	0	530	0	0	0	0	2	0	0	114	0	10
ND-15	FBgn0031228	FBtr0330638	protein_coding	0	2	0	654	0	0	530	0	0	0	0	2	0	0	114	0	10
