# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_DOWNSTREAM	variants_effect_INTRON	variants_effect_UPSTREAM	variants_effect_UTR_3_PRIME
CG13694	FBgn0031219	FBtr0078160	protein_coding	2	2	0	0	0
CG13694	FBgn0031219	FBtr0336838	protein_coding	2	2	0	0	0
CG17075	FBgn0031239	FBtr0078142	protein_coding	3	3	0	0	0
CG17075	FBgn0031239	FBtr0308252	protein_coding	3	0	0	0	3
CG31974	FBgn0051974	FBtr0300987	protein_coding	2	2	0	0	0
CG31974	FBgn0051974	FBtr0330644	protein_coding	2	2	0	0	0
CG31974	FBgn0051974	FBtr0330645	protein_coding	2	2	0	0	0
CG31975	FBgn0051975	FBtr0302195	protein_coding	2	2	0	0	0
CG31975	FBgn0051975	FBtr0302196	protein_coding	2	2	0	0	0
CG3645	FBgn0031238	FBtr0078140	protein_coding	3	0	3	0	0
CG3645	FBgn0031238	FBtr0078141	protein_coding	3	0	3	0	0
CG4822	FBgn0031220	FBtr0078156	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0078157	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0078158	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0078159	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0100307	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0100308	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0100309	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0100310	protein_coding	2	2	0	0	0
CG4822	FBgn0031220	FBtr0330646	protein_coding	2	2	0	0	0
CR11023	FBgn0031208	FBtr0475186	pseudogene	23	0	0	23	0
Cda5	FBgn0051973	FBtr0078163	protein_coding	2	0	0	0	2
Cda5	FBgn0051973	FBtr0078164	protein_coding	2	0	0	0	2
Cda5	FBgn0051973	FBtr0113416	protein_coding	2	0	0	0	2
Cda5	FBgn0051973	FBtr0309225	protein_coding	2	0	0	0	2
Cda5	FBgn0051973	FBtr0309226	protein_coding	2	0	0	0	2
Cda5	FBgn0051973	FBtr0309227	protein_coding	2	0	0	0	2
Cda5	FBgn0051973	FBtr0309228	protein_coding	2	0	0	0	2
Cda5	FBgn0051973	FBtr0309229	protein_coding	2	0	0	0	2
FBti0059810	FBti0059810	FBti0059810-RA		22	22	0	0	0
FBti0059812	FBti0059812	FBti0059812-RA		2	2	0	0	0
FBti0059814	FBti0059814	FBti0059814-RA		2	2	0	0	0
FBti0060557	FBti0060557	FBti0060557-RA		2	0	0	2	0
FBti0060580	FBti0060580	FBti0060580-RA		23	0	0	23	0
Gs1	FBgn0001142	FBtr0078114	protein_coding	2	2	0	0	0
